,country,city_name,code,guide_type,title
50,Switzerland,Interlaken,40529,가이드 투어,[투어] 한국인 가이드와 융프라우요흐(Jungfraujoch) 투어 : 스위스/인터라켄
51,Switzerland,Interlaken,26442,액티비티,[투어] 최다 후기 & 믿고 예약하는 패러글라이딩 :: 스위스/인터라켄
52,Switzerland,Zurich,74014,가이드 투어,[투어] 스위스의 베스트 여행지들만 한 번에 모은 9일 루트! (취리히 출발)
53,Switzerland,Interlaken,78080,가이드 투어,"[투어] 드라마 사랑의불시착, 스위스 촬영지 하루 가이드 투어 (스위스/인터라켄)"
54,Switzerland,Zurich,73299,가이드 투어,[이색투어] 스위스 취리히 현지인들이 가는 핫한 칵테일바 콕 찝어서 가기
55,Switzerland,Bern,67980,가이드 투어,"이야기가 있는 ""베른 워킹투어"" (그룹투어) (스위스/베른)"
56,Switzerland,geneva,75174,가이드 투어,[투어] 스위스 제네바의 새로운 발견! 로컬가이드와 함께 힐링 워킹투어! (스위스/제네바)
57,Switzerland,luzern,74203,티켓/교통패스,파노라마 요트 크루즈 사피르를 타고 만나는 루체른!
58,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
59,Switzerland,Interlaken,62071,티켓/교통패스,스위스 패스 연속권  E-티켓 (2등석)
60,Ireland,Dublin,79224,가이드 투어,[한국어 투어]아일랜드 더블린 근교 유적지 타라언덕 & 트림캐슬 (아이리쉬 티타임 포함)
61,Ireland,Dublin,65977,가이드 투어,[한국어] 더블린과 위클로우 (한 번에 두 가지 여행) (아일랜드/더블린)
62,Ireland,galway,65900,가이드 투어,"[한국어] 1박2일 아일랜드 서부여행 - 모허절벽, 골웨이, 코네마라(더블린출발)"
63,Ireland,northern ireland,65898,가이드 투어,[한국어] 북아일랜드 Top5 일일투어 (아일랜드 더블린출발/북아일랜드/벨파스트)
